    Finished release [optimized] target(s) in 0.05s
     Running `target/release/gauge_mc_runner --klow 0.76477 --khigh 0.76864 --potential-type binary -r 64 -N 1024 -w 128 -L 8 -s 32 --config-output /home/sumner/source/GaugeTheoryRunner/outputs/rec/binary/L=8/out-k076477-k076864.yaml --output-winding -o /home/sumner/source/GaugeTheoryRunner/outputs/rec/binary/L=8/out-k076477-k076864.npz`
[2024-02-26T19:23:08Z INFO  gauge_mc_runner] Warmup 0/128
[2024-02-26T19:23:10Z INFO  gauge_mc_runner] Warmup 10/128
[2024-02-26T19:23:12Z INFO  gauge_mc_runner] Warmup 20/128
[2024-02-26T19:23:14Z INFO  gauge_mc_runner] Warmup 30/128
[2024-02-26T19:23:16Z INFO  gauge_mc_runner] Warmup 40/128
[2024-02-26T19:23:18Z INFO  gauge_mc_runner] Warmup 50/128
[2024-02-26T19:23:19Z INFO  gauge_mc_runner] Warmup 60/128
[2024-02-26T19:23:21Z INFO  gauge_mc_runner] Warmup 70/128
[2024-02-26T19:23:23Z INFO  gauge_mc_runner] Warmup 80/128
[2024-02-26T19:23:25Z INFO  gauge_mc_runner] Warmup 90/128
[2024-02-26T19:23:27Z INFO  gauge_mc_runner] Warmup 100/128
[2024-02-26T19:23:29Z INFO  gauge_mc_runner] Warmup 110/128
[2024-02-26T19:23:31Z INFO  gauge_mc_runner] Warmup 120/128
[2024-02-26T19:23:32Z INFO  gauge_mc_runner] Done!
[2024-02-26T19:23:32Z INFO  gauge_mc_runner] Sampling 0/1024
[2024-02-26T19:23:34Z INFO  gauge_mc_runner] Sampling 10/1024
[2024-02-26T19:23:36Z INFO  gauge_mc_runner] Sampling 20/1024
[2024-02-26T19:23:38Z INFO  gauge_mc_runner] Sampling 30/1024
[2024-02-26T19:23:40Z INFO  gauge_mc_runner] Sampling 40/1024
[2024-02-26T19:23:42Z INFO  gauge_mc_runner] Sampling 50/1024
[2024-02-26T19:23:43Z INFO  gauge_mc_runner] Sampling 60/1024
[2024-02-26T19:23:45Z INFO  gauge_mc_runner] Sampling 70/1024
[2024-02-26T19:23:47Z INFO  gauge_mc_runner] Sampling 80/1024
[2024-02-26T19:23:49Z INFO  gauge_mc_runner] Sampling 90/1024
[2024-02-26T19:23:51Z INFO  gauge_mc_runner] Sampling 100/1024
[2024-02-26T19:23:53Z INFO  gauge_mc_runner] Sampling 110/1024
[2024-02-26T19:23:55Z INFO  gauge_mc_runner] Sampling 120/1024
[2024-02-26T19:23:57Z INFO  gauge_mc_runner] Sampling 130/1024
[2024-02-26T19:23:58Z INFO  gauge_mc_runner] Sampling 140/1024
[2024-02-26T19:24:00Z INFO  gauge_mc_runner] Sampling 150/1024
[2024-02-26T19:24:02Z INFO  gauge_mc_runner] Sampling 160/1024
[2024-02-26T19:24:04Z INFO  gauge_mc_runner] Sampling 170/1024
[2024-02-26T19:24:06Z INFO  gauge_mc_runner] Sampling 180/1024
[2024-02-26T19:24:08Z INFO  gauge_mc_runner] Sampling 190/1024
[2024-02-26T19:24:10Z INFO  gauge_mc_runner] Sampling 200/1024
[2024-02-26T19:24:12Z INFO  gauge_mc_runner] Sampling 210/1024
[2024-02-26T19:24:14Z INFO  gauge_mc_runner] Sampling 220/1024
[2024-02-26T19:24:15Z INFO  gauge_mc_runner] Sampling 230/1024
[2024-02-26T19:24:17Z INFO  gauge_mc_runner] Sampling 240/1024
[2024-02-26T19:24:19Z INFO  gauge_mc_runner] Sampling 250/1024
[2024-02-26T19:24:21Z INFO  gauge_mc_runner] Sampling 260/1024
[2024-02-26T19:24:23Z INFO  gauge_mc_runner] Sampling 270/1024
[2024-02-26T19:24:25Z INFO  gauge_mc_runner] Sampling 280/1024
